sum_1,sum_2,norm,accel,scan
-0.30573800206184387,-0.6161400079727173,0.496215,109.536238,25155000.0
-0.2542000114917755,-0.6140220165252686,0.413991,179.427773,25157500.0
-0.28827300667762756,-0.6145409941673279,0.469087,160.738888,25160000.0
-0.32795000076293945,-0.6161580085754395,0.532249,114.808937,25162500.0
-0.2912909984588623,-0.616720974445343,0.472323,178.826668,25165000.0
-0.30793100595474243,-0.6181809902191162,0.498123,104.931454,25155000.0
-0.2529590129852295,-0.6170529723167419,0.409947,163.439623,25157500.0
-0.2704020142555237,-0.6161559820175171,0.438854,90.63139,25160000.0
-0.3278850018978119,-0.6172000169754028,0.531246,143.130941,25162500.0
-0.30956700444221497,-0.618736982345581,0.500321,107.692869,25165000.0
-0.31446799635887146,-0.6183819770812988,0.508533,100.063296,25155000.0
-0.25914299488067627,-0.6172429919242859,0.419841,101.560126,25157500.0
-0.27773401141166687,-0.6161699891090393,0.450743,117.231529,25160000.0
-0.3282809853553772,-0.6174520254135132,0.53167,80.762794,25162500.0
-0.3238869905471802,-0.6190369725227356,0.523211,28.536169,25165000.0
-0.30697599053382874,-0.6195870041847229,0.495453,133.233587,25155000.0
-0.2711380124092102,-0.6185969710350037,0.438312,16.444043,25157500.0
-0.26873600482940674,-0.6155650019645691,0.436568,73.931658,25160000.0
-0.3225420117378235,-0.6203629970550537,0.519924,56.758267,25162500.0
-0.32779601216316223,-0.6224700212478638,0.526606,12.382687,25165000.0
-0.31168800592422485,-0.6226940155029297,0.500548,102.775385,25155000.0
-0.2742629945278168,-0.6196640133857727,0.4426,3.647852,25157500.0
-0.26604199409484863,-0.6154940128326416,0.432241,59.503895,25160000.0
-0.31418201327323914,-0.6177600026130676,0.508582,-0.919942,25162500.0
-0.325082004070282,-0.6183620095252991,0.525715,40.453542,25165000.0
-0.3264259994029999,-0.61940997838974,0.526995,7.552778,25155000.0
-0.27776899933815,-0.6175659894943237,0.449781,2.416239,25157500.0
-0.26028600335121155,-0.6170120239257812,0.421849,19.549037,25160000.0
-0.3105030059814453,-0.6199659705162048,0.500839,-16.073581,25162500.0
-0.3240779936313629,-0.6200630068778992,0.522654,17.301068,25165000.0
-0.3304489850997925,-0.6218119859695435,0.531429,-25.729758,25155000.0
-0.27360999584198,-0.6187649965286255,0.442188,-4.526504,25157500.0
-0.2559809982776642,-0.6177390217781067,0.414384,-28.506804,25160000.0
-0.3120200037956238,-0.6207510232925415,0.502649,1.814867,25162500.0
-0.3326599895954132,-0.6222749948501587,0.534587,-51.586191,25165000.0
-0.33144399523735046,-0.6219559907913208,0.532906,-5.561939,25155000.0
-0.2883070111274719,-0.6213380098342896,0.46401,-43.065215,25157500.0
-0.2555429935455322,-0.6191490292549133,0.412733,-67.3336,25160000.0
-0.3226040005683899,-0.6208959817886353,0.519578,43.400499,25162500.0
-0.33191800117492676,-0.6212180256843567,0.534301,-146.790976,25165000.0
-0.328220009803772,-0.6227380037307739,0.527059,24.45403,25155000.0
-0.27945199608802795,-0.6200839877128601,0.450668,-20.976262,25157500.0
-0.25827398896217346,-0.6211770176887512,0.415782,-128.083515,25160000.0
-0.32374098896980286,-0.6254540085792542,0.51761,63.191515,25162500.0
-0.3353559970855713,-0.6252089738845825,0.53639,-101.644178,25165000.0
-0.3342970013618469,-0.6268489956855774,0.533298,-30.041255,25155000.0
-0.27447500824928284,-0.6244890093803406,0.439519,30.006935,25157500.0
-0.257082998752594,-0.6206660270690918,0.414206,-19.358463,25160000.0
-0.29419100284576416,-0.6232849955558777,0.472001,-85.279618,25162500.0
-0.3192940056324005,-0.6222749948501587,0.513107,86.60223,25165000.0
-0.3362720012664795,-0.6235610246658325,0.539276,-59.565295,25155000.0
-0.2916800081729889,-0.6210409998893738,0.469663,-40.914524,25157500.0
-0.2721729874610901,-0.6203479766845703,0.438742,95.215759,25160000.0
-0.3040570020675659,-0.6252530217170715,0.486295,-37.980586,25162500.0
-0.33260101079940796,-0.6255049705505371,0.531732,-14.643251,25165000.0
-0.31867700815200806,-0.625328004360199,0.509617,98.738034,25155000.0
-0.2700270116329193,-0.6249650120735168,0.432067,33.300985,25157500.0
-0.2641969919204712,-0.6231279969215393,0.423985,44.580432,25160000.0
-0.3319079875946045,-0.6262500286102295,0.529992,107.57482,25162500.0
-0.3358300030231476,-0.6256840229034424,0.53674,-16.910473,25165000.0
-0.31807899475097656,-0.6267650127410889,0.507494,115.938347,25155000.0
-0.2733309864997864,-0.6237490177154541,0.438206,17.254443,25157500.0
-0.2592630088329315,-0.6215620040893555,0.417115,-32.071004,25160000.0
-0.3293440043926239,-0.621969997882843,0.529518,115.757057,25162500.0
-0.3359079957008362,-0.625577986240387,0.536955,-59.075178,25165000.0
-0.32825300097465515,-0.6262140274047852,0.524187,9.872624,25155000.0
-0.2569870054721832,-0.6229709982872009,0.412518,124.901736,25157500.0
-0.2597399950027466,-0.6209120154380798,0.41832,-8.993681,25160000.0
-0.31518399715423584,-0.6231030225753784,0.50583,11.306585,25162500.0
-0.27736300230026245,-0.6218010187149048,0.446064,266.677117,25165000.0
-0.2777949869632721,-0.6208720207214355,0.447427,261.922625,25155000.0
-0.26243001222610474,-0.6213510036468506,0.422355,84.772561,25157500.0
-0.2872380018234253,-0.6213809847831726,0.462257,162.294675,25160000.0
-0.32857298851013184,-0.6238719820976257,0.526666,101.126561,25162500.0
-0.2920520007610321,-0.6215389966964722,0.469885,168.458302,25165000.0
-0.32149600982666016,-0.6206880211830139,0.517967,63.50928,25155000.0
-0.2703140079975128,-0.6184970140457153,0.43705,23.390393,25157500.0
-0.29390600323677063,-0.6189590096473694,0.474839,194.990242,25160000.0
-0.3289720118045807,-0.6211370229721069,0.529628,91.693805,25162500.0
-0.3355709910392761,-0.6233260035514832,0.538355,-80.579624,25165000.0
-0.29184800386428833,-0.6215530037879944,0.469546,190.727067,25155000.0
-0.2829119861125946,-0.6230559945106506,0.454072,-51.720575,25157500.0
-0.26357001066207886,-0.6204599738121033,0.424798,24.986531,25160000.0
-0.33452901244163513,-0.6250159740447998,0.535232,158.429404,25162500.0
-0.32994401454925537,-0.622704029083252,0.529857,0.293227,25165000.0
-0.3352000117301941,-0.6232500076293945,0.537826,-80.994823,25155000.0
-0.2798199951648712,-0.6206070184707642,0.45088,-3.274529,25157500.0
-0.2776220142841339,-0.6212199926376343,0.446898,87.268396,25160000.0
-0.2690480053424835,-0.6173710227012634,0.435796,-220.776054,25162500.0
-0.3071669936180115,-0.6212959885597229,0.494397,131.344175,25165000.0
-0.3273249864578247,-0.6217759847640991,0.526436,10.46014,25155000.0
-0.3353720009326935,-0.6231269836425781,0.538208,-395.086754,25157500.0
-0.3134140074253082,-0.6226869821548462,0.503325,291.518798,25160000.0
-0.25573399662971497,-0.623320996761322,0.410277,-369.86355,25162500.0
-0.28436100482940674,-0.6168619990348816,0.46098,208.851465,25165000.0
-0.3341920077800751,-0.6242700219154358,0.535332,-152.086344,25155000.0
-0.33366501331329346,-0.626416027545929,0.532657,-427.896094,25157500.0
